"Ngày","Lần cuối","Mở","Cao","Thấp","% Thay đổi"
"21/11/2025","3.004","3.000","3.004","3.000","0.13%"
"20/11/2025","3.000","2.984","3.000","2.984","0.57%"
"19/11/2025","2.983","2.983","2.983","2.983","0.00%"
"18/11/2025","2.983","2.983","2.983","2.983","0.00%"
"17/11/2025","2.983","2.983","2.983","2.983","0.00%"
"14/11/2025","2.983","2.983","2.983","2.983","0.00%"
"13/11/2025","2.983","2.979","2.983","2.979","0.13%"
"12/11/2025","2.979","2.979","2.979","2.979","0.00%"
"11/11/2025","2.979","2.979","2.979","2.979","0.00%"
"10/11/2025","2.979","2.938","2.979","2.938","1.40%"
"07/11/2025","2.938","2.933","2.938","2.933","0.17%"
"06/11/2025","2.933","2.933","2.933","2.933","0.00%"
"05/11/2025","2.933","2.933","2.933","2.933","-0.03%"
"04/11/2025","2.934","2.934","2.934","2.934","0.03%"
"03/11/2025","2.933","2.933","2.933","2.933","0.00%"
"31/10/2025","2.933","2.933","2.933","2.933","0.00%"
"30/10/2025","2.933","2.933","2.933","2.933","0.00%"
"29/10/2025","2.933","2.933","2.933","2.933","0.00%"
"28/10/2025","2.933","2.933","2.933","2.933","0.00%"
"27/10/2025","2.933","2.933","2.933","2.933","0.00%"
"24/10/2025","2.933","2.925","2.933","2.925","0.27%"
"23/10/2025","2.925","2.925","2.925","2.925","0.00%"
"22/10/2025","2.925","2.908","2.925","2.908","0.58%"
"21/10/2025","2.908","2.908","2.908","2.908","0.00%"
"20/10/2025","2.908","2.892","2.908","2.892","0.55%"
"17/10/2025","2.892","2.888","2.892","2.888","0.14%"
"16/10/2025","2.888","2.871","2.888","2.871","0.59%"
"15/10/2025","2.871","2.871","2.871","2.871","0.00%"
"14/10/2025","2.871","2.871","2.871","2.871","0.00%"
"13/10/2025","2.871","2.871","2.871","2.871","-0.03%"
"10/10/2025","2.872","2.872","2.872","2.872","0.03%"
"09/10/2025","2.871","2.854","2.871","2.854","0.60%"
"08/10/2025","2.854","2.854","2.854","2.854","0.00%"
"07/10/2025","2.854","2.854","2.854","2.854","0.00%"
"06/10/2025","2.854","2.854","2.854","2.854","0.00%"
"03/10/2025","2.854","2.854","2.854","2.854","-0.04%"
"02/10/2025","2.855","2.839","2.855","2.839","0.56%"
"01/10/2025","2.839","2.839","2.839","2.839","0.04%"
"30/09/2025","2.838","2.838","2.838","2.838","-0.04%"
"29/09/2025","2.839","2.839","2.839","2.839","0.04%"
"26/09/2025","2.838","2.838","2.838","2.838","-0.04%"
"25/09/2025","2.839","2.839","2.839","2.839","0.32%"
"24/09/2025","2.830","2.830","2.830","2.830","-0.04%"
"23/09/2025","2.831","2.831","2.831","2.831","0.04%"
"22/09/2025","2.830","2.819","2.830","2.819","0.39%"
"19/09/2025","2.819","2.819","2.819","2.819","0.00%"
"18/09/2025","2.819","2.810","2.819","2.810","0.32%"
"17/09/2025","2.810","2.810","2.810","2.810","0.00%"
"16/09/2025","2.810","2.811","2.811","2.810","-0.07%"
"15/09/2025","2.812","2.810","2.812","2.810","0.04%"
"12/09/2025","2.811","2.811","2.811","2.811","0.00%"
"11/09/2025","2.811","2.807","2.811","2.807","0.14%"
"10/09/2025","2.807","2.807","2.807","2.807","0.00%"
"09/09/2025","2.807","2.799","2.807","2.799","0.29%"
"08/09/2025","2.799","2.799","2.799","2.799","0.00%"
"05/09/2025","2.799","2.799","2.799","2.799","0.00%"
"04/09/2025","2.799","2.783","2.799","2.783","0.57%"
"03/09/2025","2.783","2.783","2.783","2.783","0.04%"
"02/09/2025","2.782","2.782","2.782","2.782","0.00%"
"01/09/2025","2.782","2.782","2.782","2.782","0.00%"
"29/08/2025","2.782","2.770","2.782","2.770","0.40%"
"28/08/2025","2.771","2.761","2.771","2.761","0.33%"
"27/08/2025","2.762","2.757","2.762","2.757","0.15%"
"26/08/2025","2.758","2.721","2.758","2.721","1.36%"
"25/08/2025","2.721","2.687","2.721","2.687","1.27%"
"22/08/2025","2.687","2.687","2.687","2.687","-0.04%"
"21/08/2025","2.688","2.655","2.688","2.655","1.24%"
"20/08/2025","2.655","2.647","2.655","2.647","0.30%"
"19/08/2025","2.647","2.643","2.647","2.643","0.15%"
"18/08/2025","2.643","2.634","2.643","2.634","0.34%"
"15/08/2025","2.634","2.605","2.634","2.605","1.07%"
"14/08/2025","2.606","2.552","2.606","2.552","2.12%"
"13/08/2025","2.552","2.531","2.552","2.531","0.79%"
"12/08/2025","2.532","2.538","2.538","2.532","-0.24%"
"11/08/2025","2.538","2.547","2.547","2.538","-0.35%"
"08/08/2025","2.547","2.544","2.547","2.544","0.08%"
"07/08/2025","2.545","2.489","2.545","2.489","2.25%"
"06/08/2025","2.489","2.489","2.489","2.489","0.00%"
"05/08/2025","2.489","2.489","2.489","2.489","0.00%"
"04/08/2025","2.489","2.489","2.489","2.489","0.00%"
"01/08/2025","2.489","2.486","2.489","2.486","0.40%"
"31/07/2025","2.479","2.479","2.479","2.479","0.16%"
"30/07/2025","2.475","2.475","2.475","2.475","0.00%"
"29/07/2025","2.475","2.458","2.475","2.458","0.69%"
"28/07/2025","2.458","2.458","2.458","2.458","0.00%"
"25/07/2025","2.458","2.458","2.458","2.458","0.61%"
