Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat,symbol
2020-01-02,6.64,23.0,0.2(0.88 %),1163109,26620604300,0,0,22.8,23.0,22.7,ACB
2020-01-03,6.64,23.0,0(0.00 %),1055528,24336485800,109,2256300,23.0,23.2,22.9,ACB
2020-01-06,6.5,22.5,-0.5(-2.17 %),1286035,29124321800,50,1035000,23.0,23.0,22.5,ACB
2020-01-07,6.5,22.5,0(0.00 %),1050934,23714410100,0,0,22.5,22.7,22.5,ACB
2020-01-08,6.38,22.1,-0.4(-1.78 %),2304937,51193932100,0,0,22.5,22.5,22.0,ACB
2020-01-09,6.47,22.4,0.3(1.36 %),1422248,31852171300,10,199000,22.2,22.6,22.2,ACB
2020-01-10,6.55,22.7,0.3(1.34 %),2371501,53935401300,30,606000,22.5,23.1,22.5,ACB
2020-01-13,6.61,22.9,0.2(0.88 %),1523181,34743522400,176,3608000,22.9,22.9,22.7,ACB
2020-01-14,6.78,23.5,0.6(2.62 %),2851982,66487130800,0,0,22.9,23.5,22.9,ACB
2020-01-15,6.73,23.3,-0.2(-0.85 %),1158657,27066003700,0,0,23.5,23.5,23.2,ACB
2020-01-16,6.9,23.9,0.6(2.58 %),2819687,67084324700,10090,234890000,23.3,24.0,23.3,ACB
2020-01-17,6.87,23.8,-0.1(-0.42 %),2706194,64727169200,145075,3726620000,24.0,24.1,23.7,ACB
2020-01-20,7.02,24.3,0.5(2.10 %),4443379,107669251000,0,0,23.8,24.7,23.8,ACB
2020-01-21,7.07,24.5,0.2(0.82 %),1775816,43645442900,25000,607500000,24.5,24.7,24.3,ACB
2020-01-22,7.07,24.5,0(0.00 %),1574379,38468936900,125000,2800000000,24.6,24.6,24.3,ACB
2020-01-30,6.81,23.6,-0.9(-3.67 %),4250097,101358075800,0,0,24.2,24.3,23.2,ACB
2020-01-31,6.64,23.0,-0.6(-2.54 %),4243264,98991597900,0,0,23.5,23.8,22.9,ACB
2020-02-03,6.52,22.6,-0.4(-1.74 %),4430186,98484462800,11000,227700000,22.3,23.0,21.7,ACB
2020-02-04,6.7,23.2,0.6(2.65 %),2397062,54781235700,99,2019600,22.9,23.2,22.5,ACB
2020-02-05,6.64,23.0,-0.2(-0.86 %),2790275,64875756600,1771575,42340642500,23.4,23.5,22.9,ACB
2020-02-06,6.93,24.0,1(4.35 %),2980981,70318469900,13000,299000000,23.1,24.0,23.0,ACB
2020-02-07,6.87,23.8,-0.2(-0.83 %),2007251,47804270500,129,2786400,24.0,24.1,23.6,ACB
2020-02-10,6.81,23.6,-0.2(-0.84 %),1271190,29985470600,2151575,51652150325,23.8,23.9,23.4,ACB
2020-02-11,6.84,23.7,0.1(0.42 %),1862090,44014408800,0,0,23.6,23.8,23.5,ACB
2020-02-12,7.39,25.6,1.9(8.02 %),10516207,263028738900,505192,12629108800,23.8,25.7,23.8,ACB
2020-02-13,7.36,25.5,-0.1(-0.39 %),3773365,95858748800,2700091,68802102100,25.6,25.7,25.1,ACB
2020-02-14,7.62,26.4,0.9(3.53 %),8018099,210862281400,31,713000,25.5,26.8,25.5,ACB
2020-02-17,7.62,26.4,0(0.00 %),3764464,98987134700,330098,8696332400,26.3,26.7,26.0,ACB
2020-02-18,7.68,26.6,0.2(0.76 %),6293208,167894145000,14643534,424662085600,26.4,27.1,26.3,ACB
2020-02-19,7.59,26.3,-0.3(-1.13 %),5091969,133990852000,0,0,26.5,26.7,25.9,ACB
2020-02-20,7.62,26.4,0.1(0.38 %),5578717,147666007300,200000,4800000000,26.3,27.0,26.1,ACB
2020-02-21,7.42,25.7,-0.7(-2.65 %),6333926,165218690200,177,4212600,24.9,26.6,24.9,ACB
2020-02-24,6.93,24.0,-1.7(-6.61 %),10321149,253729042100,32000,742400000,25.5,25.6,23.8,ACB
2020-02-25,7.25,25.1,1.1(4.58 %),8279866,201940689600,3200000,84480000000,23.5,25.1,23.1,ACB
2020-02-26,7.1,24.6,-0.5(-1.99 %),4519324,111924416200,4540000,125284000000,25.0,25.1,24.3,ACB
2020-02-27,7.36,25.5,0.9(3.66 %),5309790,132912214300,0,0,24.2,25.5,24.2,ACB
2020-02-28,7.28,25.2,-0.3(-1.18 %),5959642,148323546200,299100,8214800000,23.0,25.3,23.0,ACB
2020-03-02,7.28,25.2,0(0.00 %),3629494,91415966500,200046,4541044200,24.4,25.5,24.4,ACB
2020-03-03,7.39,25.6,0.4(1.59 %),6364207,163557408300,497,11281900,25.6,25.9,25.3,ACB
2020-03-04,7.45,25.8,0.2(0.78 %),5047583,129013678000,293,6768300,25.6,25.8,25.3,ACB
2020-03-05,7.39,25.6,-0.2(-0.78 %),5965022,154840164800,31158,725981400,26.0,26.4,25.4,ACB
2020-03-06,7.3,25.3,-0.3(-1.17 %),3959935,99971075400,304,7022400,25.5,25.5,25.1,ACB
2020-03-09,6.73,23.3,-2(-7.91 %),16776046,394170825000,30157,687579600,24.7,24.7,23.0,ACB
2020-03-10,6.99,24.2,0.9(3.86 %),7582331,181783787500,94,1974000,23.0,24.8,22.9,ACB
2020-03-11,6.76,23.4,-0.8(-3.31 %),7841324,184015403200,205098,5373136400,24.3,24.4,23.0,ACB
2020-03-12,6.38,22.1,-1.3(-5.56 %),11082125,246324096000,30174,762671400,23.0,23.0,21.5,ACB
2020-03-13,6.35,22.0,-0.1(-0.45 %),9020091,190687516200,155145,3427885500,21.5,22.5,20.5,ACB
2020-03-16,6.03,20.9,-1.1(-5.00 %),4614344,98596769900,5003,110059400,22.0,22.3,20.7,ACB
2020-03-17,6.09,21.1,0.2(0.96 %),6568088,136306618100,205184,4103477600,20.8,21.4,20.1,ACB
2020-03-18,6.12,21.2,0.1(0.47 %),4944595,105199107200,50148,1127812000,21.3,21.6,20.9,ACB
2020-03-19,6.09,21.1,-0.1(-0.47 %),4083896,85494321500,4100031,92900592100,21.0,21.3,20.7,ACB
2020-03-20,6.18,21.4,0.3(1.42 %),3341564,70993212800,1930099,42969881000,23.2,23.2,21.0,ACB
2020-03-23,5.57,19.3,-2.1(-9.81 %),10024177,198971442000,400070,8603351000,21.2,21.4,19.3,ACB
2020-03-24,5.66,19.6,0.3(1.55 %),4315784,84196647700,1511564,31939708400,19.1,19.9,19.1,ACB
2020-03-25,5.92,20.5,0.9(4.59 %),4115341,84211909700,215058,4116526600,20.0,20.8,20.0,ACB
2020-03-26,5.69,19.7,-0.8(-3.90 %),3631529,72841994500,0,0,20.6,20.6,19.7,ACB
2020-03-27,5.69,19.7,0(0.00 %),3980631,79032347000,60,1068000,19.7,20.1,19.5,ACB
2020-03-30,5.25,18.2,-1.5(-7.61 %),5925098,109223951800,10000,197000000,19.5,19.5,17.9,ACB
2020-03-31,5.14,17.8,-0.4(-2.20 %),4532153,82142173500,220000,4068500000,18.2,18.8,17.4,ACB
2020-04-01,5.37,18.6,0.8(4.49 %),2761168,50828603000,1500060,25500966000,16.1,19.0,16.1,ACB
2020-04-03,5.51,19.1,0.5(2.69 %),3574343,67895900000,1808030,32555904000,18.1,19.4,18.1,ACB
2020-04-06,5.95,20.6,1.5(7.85 %),5757259,116174964000,0,0,19.4,20.8,19.1,ACB
2020-04-07,5.86,20.3,-0.3(-1.46 %),4467621,91188497700,0,0,21.0,21.0,20.0,ACB
2020-04-08,5.83,20.2,-0.1(-0.49 %),2331536,46421889100,0,0,22.3,22.3,19.7,ACB
2020-04-09,5.77,20.0,-0.2(-0.99 %),4068966,82594020500,0,0,22.2,22.2,20.0,ACB
2020-04-10,5.72,19.8,-0.2(-1.00 %),2517477,50214273300,7,126000,19.0,20.2,19.0,ACB
2020-04-13,5.77,20.0,0.2(1.01 %),1926793,38613497000,21000,415800000,17.9,20.4,17.9,ACB
2020-04-14,5.77,20.0,0(0.00 %),3167293,63212020400,0,0,20.0,20.2,19.7,ACB
2020-04-15,5.83,20.2,0.2(1.00 %),3686239,74970524900,0,0,20.0,20.7,20.0,ACB
2020-04-16,5.89,20.4,0.2(0.99 %),1895213,38359329900,5,91000,20.2,20.4,20.1,ACB
2020-04-17,6.06,21.0,0.6(2.94 %),4809341,100469292800,50,920000,20.5,21.1,20.5,ACB
2020-04-20,5.98,20.7,-0.3(-1.43 %),3064104,63784391600,1,18900,21.2,21.2,20.6,ACB
2020-04-21,5.72,19.8,-0.9(-4.35 %),6015799,120484853500,292034,6250674800,20.6,20.6,19.7,ACB
2020-04-22,5.89,20.4,0.6(3.03 %),2637424,52689719500,141900,3079230000,19.8,20.4,19.4,ACB
