Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat,symbol
2020-01-02,966.67,966.67,5.68(0.59 %),128410670,2230019850000.0,67385376,1204057496300,960.26,966.67,959.67,VNINDEX
2020-01-03,965.14,965.14,-1.53(-0.16 %),144668880,2447689000000.0,22318660,346250165800,968.72,970.88,965.14,VNINDEX
2020-01-06,955.79,955.79,-9.35(-0.97 %),137059570,2227952000000.0,43743994,980265064320,962.79,965.14,955.59,VNINDEX
2020-01-07,958.88,958.88,3.09(0.32 %),126566780,2072200000000.0,48969393,1327032254750,955.79,959.46,953.19,VNINDEX
2020-01-08,948.98,948.98,-9.9(-1.03 %),175534190,2853352000000.0,137061230,2173747547520,954.13,958.88,945.28,VNINDEX
2020-01-09,960.15,960.15,11.17(1.18 %),130690470,2281812000000.0,31196109,794637543250,953.86,960.73,948.98,VNINDEX
2020-01-10,968.54,968.54,8.39(0.87 %),160461650,2965352000000.0,58013210,1907963418300,961.17,969.71,960.15,VNINDEX
2020-01-13,965.84,965.84,-2.7(-0.28 %),115808100,1897262000000.0,26775583,730814872200,966.89,968.63,964.79,VNINDEX
2020-01-14,967.0,967.0,1.16(0.12 %),125449000,2169262000000.0,61032014,1944244937100,966.26,968.85,965.76,VNINDEX
2020-01-15,967.56,967.56,0.56(0.06 %),109520090,1981492000000.0,36427556,1047876578900,967.69,967.69,964.84,VNINDEX
2020-01-16,974.31,974.31,6.75(0.70 %),143788670,2661867000000.0,49581769,1672834402140,967.2,974.7,967.17,VNINDEX
2020-01-17,978.96,978.96,4.65(0.48 %),114716080,2308248000000.0,44024893,835854593400,976.28,980.02,973.79,VNINDEX
2020-01-20,978.63,978.63,-0.33(-0.03 %),98732080,2109087000000.0,44342629,1667953008600,978.23,979.85,975.93,VNINDEX
2020-01-21,986.37,986.37,7.74(0.79 %),123872370,2656479000000.0,24720525,564472621700,978.82,986.37,978.63,VNINDEX
2020-01-22,991.46,991.46,5.09(0.52 %),124881140,2533954680000.0,18264792,511247436400,986.52,991.46,983.92,VNINDEX
2020-01-30,959.58,959.58,-31.88(-3.22 %),174488050,3847422000000.0,12594500,352315047700,975.15,991.46,954.0,VNINDEX
2020-01-31,936.62,936.62,-22.96(-2.39 %),203521680,3986058000000.0,41405419,687634587000,959.58,960.96,936.62,VNINDEX
2020-02-03,928.14,928.14,-8.48(-0.91 %),238589640,4315277000000.0,27564590,618077854000,916.6,936.62,891.85,VNINDEX
2020-02-04,929.09,929.09,0.95(0.10 %),171707930,3281442000000.0,18542770,510217723600,929.42,934.91,919.33,VNINDEX
2020-02-05,925.91,925.91,-3.18(-0.34 %),158265300,2971621000000.0,27835238,906814771100,934.75,936.33,921.89,VNINDEX
2020-02-06,938.54,938.54,12.63(1.36 %),199011870,3754465000000.0,15030904,367155369450,926.66,938.54,925.21,VNINDEX
2020-02-07,940.75,940.75,2.21(0.24 %),159078180,3091217000000.0,21793610,571624437800,938.61,943.48,935.94,VNINDEX
2020-02-10,930.73,930.73,-10.02(-1.07 %),124769190,2191890000000.0,20677048,433444428450,934.38,940.75,926.61,VNINDEX
2020-02-11,934.67,934.67,3.94(0.42 %),152383070,2702481000000.0,17372470,307229245600,930.73,936.04,930.73,VNINDEX
2020-02-12,937.68,937.68,3.01(0.32 %),180704710,3172619000000.0,38391380,944356318100,940.72,943.11,934.67,VNINDEX
2020-02-13,938.24,938.24,0.56(0.06 %),148281160,2448810000000.0,22154170,549731097500,937.19,939.1,934.47,VNINDEX
2020-02-14,937.45,937.45,-0.79(-0.08 %),164026980,2688561240000.0,30435691,906705903200,939.28,940.65,936.47,VNINDEX
2020-02-17,934.77,934.77,-2.68(-0.29 %),143700760,2481085000000.0,31630709,665317863500,938.52,938.52,931.66,VNINDEX
2020-02-18,927.93,927.93,-6.84(-0.73 %),154796540,2702563000000.0,21144984,597304673600,927.93,934.98,926.01,VNINDEX
2020-02-19,928.76,928.76,0.83(0.09 %),155110900,2528386000000.0,29511087,904434683600,926.41,931.66,925.86,VNINDEX
2020-02-20,938.13,938.13,9.37(1.01 %),176812010,2785322000000.0,10439258,231273780000,933.69,938.13,928.76,VNINDEX
2020-02-21,933.09,933.09,-5.04(-0.54 %),170762390,3119054000000.0,23539899,710639304200,938.13,940.53,932.32,VNINDEX
2020-02-24,903.34,903.34,-29.75(-3.19 %),246597810,4145546690000.0,34262429,791147587310,917.49,917.49,903.34,VNINDEX
2020-02-25,909.67,909.67,6.33(0.70 %),177111460,2963303590000.0,33381797,748715329800,893.95,909.67,893.95,VNINDEX
2020-02-26,895.97,895.97,-13.7(-1.51 %),124900000,2587353750000.0,9751390,250618505400,901.51,903.27,894.25,VNINDEX
2020-02-27,898.44,898.44,2.47(0.28 %),127837480,2623634000000.0,26152818,785602036600,892.15,899.34,889.14,VNINDEX
2020-02-28,882.19,882.19,-16.25(-1.81 %),177524420,3207604000000.0,55130720,1474946141900,885.47,898.44,872.46,VNINDEX
2020-03-02,884.43,884.43,2.24(0.25 %),167380280,2769295000000.0,30070672,693785945260,878.43,886.45,877.31,VNINDEX
2020-03-03,890.61,890.61,6.18(0.70 %),170679850,2904778000000.0,34043992,937513569200,895.39,896.39,884.43,VNINDEX
